Class: Chrome_WidgetWin_1 | ID:  | Name: about:blank - Google Chrome | ControlType: ControlType.Window
            Class: SidePanel::BorderView | ID:  | Name:  | ControlType: ControlType.Pane
            Class: SidePanelResizeArea | ID:  | Name: Side Panel Resize Handle (draggable) | ControlType: ControlType.Slider
          Class: InfoBarContainerView | ID: view_1039 | Name: Infobar Container | ControlType: ControlType.Group
            Class: ContentShadow | ID:  | Name:  | ControlType: ControlType.Pane
          Class: ShadowOverlayView | ID:  | Name:  | ControlType: ControlType.Pane
            Class: CornerView | ID:  | Name:  | ControlType: ControlType.Pane
            Class: CornerView | ID:  | Name:  | ControlType: ControlType.Pane
            Class: CornerView | ID:  | Name:  | ControlType: ControlType.Pane
            Class: CornerView | ID:  | Name:  | ControlType: ControlType.Pane
            Class: ShadowBox | ID:  | Name:  | ControlType: ControlType.Pane
          Class: SidePanel | ID:  | Name:  | ControlType: ControlType.Pane
            Class: ContentParentView | ID:  | Name:  | ControlType: ControlType.Pane
            Class: SidePanelResizeArea | ID:  | Name: Side Panel Resize Handle (draggable) | ControlType: ControlType.Slider
          Class: HorizontalTabStripRegionView | ID:  | Name:  | ControlType: ControlType.Tab
            Class: TabSearchContainer | ID:  | Name:  | ControlType: ControlType.Pane
              Class: TabSearchButton | ID:  | Name: Search tabs | ControlType: ControlType.Button
              Class: TabStripNudgeButton | ID:  | Name: Group related tabs | ControlType: ControlType.Button
                Class: InkDropContainerView | ID:  | Name:  | ControlType: ControlType.Pane
                Class: LabelButtonLabel | ID:  | Name: Organize tabs? | ControlType: ControlType.Text
                Class: LabelButton | ID:  | Name: Dismiss suggestion | ControlType: ControlType.Button
                  Class: InkDropContainerView | ID:  | Name:  | ControlType: ControlType.Pane
                  Class: LabelButtonLabel | ID:  | Name:  | ControlType: ControlType.Text
            Class: TabStrip | ID: view_21 | Name:  | ControlType: ControlType.Pane
              Class: TabContainerImpl | ID:  | Name:  | ControlType: ControlType.Pane
                Class: Tab | ID: view_20 | Name: New Tab | ControlType: ControlType.TabItem
                  Class: AlertIndicatorButton | ID:  | Name: Mute tab | ControlType: ControlType.Button
                  Class: TabCloseButton | ID:  | Name: Close | ControlType: ControlType.Button
                Class: Tab | ID: view_20 | Name: about:blank | ControlType: ControlType.TabItem
                  Class: AlertIndicatorButton | ID:  | Name: Mute tab | ControlType: ControlType.Button
                  Class: TabCloseButton | ID:  | Name: Close | ControlType: ControlType.Button
                Class: View | ID:  | Name:  | ControlType: ControlType.Pane
              Class: TabStrip::TabDragContextImpl | ID:  | Name:  | ControlType: ControlType.Pane
            Class: TabStripControlButton | ID:  | Name: New Tab | ControlType: ControlType.Button
            Class: FrameGrabHandle | ID:  | Name:  | ControlType: ControlType.Pane
          Class: View | ID:  | Name:  | ControlType: ControlType.Pane
          Class: ScrimView | ID:  | Name:  | ControlType: ControlType.Pane
      Class: TopContainerOverlayView | ID:  | Name:  | ControlType: ControlType.Pane
